Reach,River Sta,Profile,Q Total (cfs),W.S. Elev (ft)
UCC C - Junction,590.65,2 Yr 24 Hr,793.2,829.37
UCC C - Junction,590.65,5 Yr 24 Hr,1235.8,830.11
UCC C - Junction,590.65,10 Yr 24 Hr,1693.1,830.65
UCC C - Junction,590.65,25 Yr 24 Hr,2753.5,831.6
UCC C - Junction,590.65,50 Yr 24 Hr,3973.8,832.47
UCC C - Junction,590.65,100 Yr 24 Hr,5689.3,833.43
UCC C - Junction,590.65,200 Yr 24 Hr,7398.2,834.15
UCC C - Junction,590.65,500 Yr 24 Hr,10254.4,835.04
UCC C - Junction,419.76*,2 Yr 24 Hr,793.2,828.26
UCC C - Junction,419.76*,5 Yr 24 Hr,1235.8,828.95
UCC C - Junction,419.76*,10 Yr 24 Hr,1693.1,829.48
UCC C - Junction,419.76*,25 Yr 24 Hr,2753.5,830.41
UCC C - Junction,419.76*,50 Yr 24 Hr,3973.8,831.26
UCC C - Junction,419.76*,100 Yr 24 Hr,5689.3,832.09
UCC C - Junction,419.76*,200 Yr 24 Hr,7398.2,832.64
UCC C - Junction,419.76*,500 Yr 24 Hr,10254.4,833.35
UCC C - Junction,248.86,2 Yr 24 Hr,793.2,827.21
UCC C - Junction,248.86,5 Yr 24 Hr,1235.8,827.85
UCC C - Junction,248.86,10 Yr 24 Hr,1693.1,828.39
UCC C - Junction,248.86,25 Yr 24 Hr,2753.5,829.37
UCC C - Junction,248.86,50 Yr 24 Hr,3973.8,830.21
UCC C - Junction,248.86,100 Yr 24 Hr,5689.3,830.91
UCC C - Junction,248.86,200 Yr 24 Hr,7398.2,831.47
UCC C - Junction,248.86,500 Yr 24 Hr,10254.4,832.17
UCC A - B,19040.92,2 Yr 24 Hr,533.6,954.42
UCC A - B,19040.92,5 Yr 24 Hr,911.1,955.14
UCC A - B,19040.92,10 Yr 24 Hr,1220.9,955.59
UCC A - B,19040.92,25 Yr 24 Hr,1934.9,956.38
UCC A - B,19040.92,50 Yr 24 Hr,2724.2,957.03
UCC A - B,19040.92,100 Yr 24 Hr,3791.7,957.78
UCC A - B,19040.92,200 Yr 24 Hr,4733,958.32
UCC A - B,19040.92,500 Yr 24 Hr,6367.6,959.15
UCC A - B,18920.6*,2 Yr 24 Hr,533.6,953.6
UCC A - B,18920.6*,5 Yr 24 Hr,911.1,954.23
UCC A - B,18920.6*,10 Yr 24 Hr,1220.9,954.61
UCC A - B,18920.6*,25 Yr 24 Hr,1934.9,955.3
UCC A - B,18920.6*,50 Yr 24 Hr,2724.2,955.93
UCC A - B,18920.6*,100 Yr 24 Hr,3791.7,956.64
UCC A - B,18920.6*,200 Yr 24 Hr,4733,957.18
UCC A - B,18920.6*,500 Yr 24 Hr,6367.6,958
UCC A - B,18800.28,2 Yr 24 Hr,533.6,952.57
UCC A - B,18800.28,5 Yr 24 Hr,911.1,953.13
UCC A - B,18800.28,10 Yr 24 Hr,1220.9,953.49
UCC A - B,18800.28,25 Yr 24 Hr,1934.9,954.19
UCC A - B,18800.28,50 Yr 24 Hr,2724.2,954.83
UCC A - B,18800.28,100 Yr 24 Hr,3791.7,955.54
UCC A - B,18800.28,200 Yr 24 Hr,4733,956.08
UCC A - B,18800.28,500 Yr 24 Hr,6367.6,956.9
UCC A - B,18643.3*,2 Yr 24 Hr,533.6,951.16
UCC A - B,18643.3*,5 Yr 24 Hr,911.1,951.75
UCC A - B,18643.3*,10 Yr 24 Hr,1220.9,952.12
UCC A - B,18643.3*,25 Yr 24 Hr,1934.9,952.81
UCC A - B,18643.3*,50 Yr 24 Hr,2724.2,953.41
UCC A - B,18643.3*,100 Yr 24 Hr,3791.7,954.1
UCC A - B,18643.3*,200 Yr 24 Hr,4733,954.63
UCC A - B,18643.3*,500 Yr 24 Hr,6367.6,955.43
UCC A - B,18486.4*,2 Yr 24 Hr,533.6,949.67
UCC A - B,18486.4*,5 Yr 24 Hr,911.1,950.2
UCC A - B,18486.4*,10 Yr 24 Hr,1220.9,950.55
UCC A - B,18486.4*,25 Yr 24 Hr,1934.9,951.2
UCC A - B,18486.4*,50 Yr 24 Hr,2724.2,951.8
UCC A - B,18486.4*,100 Yr 24 Hr,3791.7,952.48
UCC A - B,18486.4*,200 Yr 24 Hr,4733,953.01
UCC A - B,18486.4*,500 Yr 24 Hr,6367.6,953.78
UCC A - B,18329.56,2 Yr 24 Hr,533.6,948.1
UCC A - B,18329.56,5 Yr 24 Hr,911.1,948.6
UCC A - B,18329.56,10 Yr 24 Hr,1220.9,948.95
UCC A - B,18329.56,25 Yr 24 Hr,1934.9,949.62
UCC A - B,18329.56,50 Yr 24 Hr,2724.2,950.25
UCC A - B,18329.56,100 Yr 24 Hr,3791.7,950.96
UCC A - B,18329.56,200 Yr 24 Hr,4733,951.53
UCC A - B,18329.56,500 Yr 24 Hr,6367.6,952.26
UCC A - B,18166.1*,2 Yr 24 Hr,533.6,946.47
UCC A - B,18166.1*,5 Yr 24 Hr,911.1,947.03
UCC A - B,18166.1*,10 Yr 24 Hr,1220.9,947.39
UCC A - B,18166.1*,25 Yr 24 Hr,1934.9,948.09
UCC A - B,18166.1*,50 Yr 24 Hr,2724.2,948.76
UCC A - B,18166.1*,100 Yr 24 Hr,3791.7,949.48
UCC A - B,18166.1*,200 Yr 24 Hr,4733,950.07
UCC A - B,18166.1*,500 Yr 24 Hr,6367.6,950.74
UCC A - B,18002.7*,2 Yr 24 Hr,533.6,944.71
UCC A - B,18002.7*,5 Yr 24 Hr,911.1,945.4
UCC A - B,18002.7*,10 Yr 24 Hr,1220.9,945.8
UCC A - B,18002.7*,25 Yr 24 Hr,1934.9,946.56
UCC A - B,18002.7*,50 Yr 24 Hr,2724.2,947.26
UCC A - B,18002.7*,100 Yr 24 Hr,3791.7,947.99
UCC A - B,18002.7*,200 Yr 24 Hr,4733,948.51
UCC A - B,18002.7*,500 Yr 24 Hr,6367.6,949.12
UCC A - B,17839.38,2 Yr 24 Hr,533.6,943.25
UCC A - B,17839.38,5 Yr 24 Hr,911.1,943.96
UCC A - B,17839.38,10 Yr 24 Hr,1220.9,944.38
UCC A - B,17839.38,25 Yr 24 Hr,1934.9,945.15
UCC A - B,17839.38,50 Yr 24 Hr,2724.2,945.87
UCC A - B,17839.38,100 Yr 24 Hr,3791.7,946.64
UCC A - B,17839.38,200 Yr 24 Hr,4733,947.06
UCC A - B,17839.38,500 Yr 24 Hr,6367.6,947.66
UCC A - B,17673.0*,2 Yr 24 Hr,533.6,942
UCC A - B,17673.0*,5 Yr 24 Hr,911.1,942.67
UCC A - B,17673.0*,10 Yr 24 Hr,1220.9,943.06
UCC A - B,17673.0*,25 Yr 24 Hr,1934.9,943.81
UCC A - B,17673.0*,50 Yr 24 Hr,2724.2,944.46
UCC A - B,17673.0*,100 Yr 24 Hr,3791.7,945.19
UCC A - B,17673.0*,200 Yr 24 Hr,4733,945.56
UCC A - B,17673.0*,500 Yr 24 Hr,6367.6,946.16
UCC A - B,17506.6*,2 Yr 24 Hr,533.6,940.59
UCC A - B,17506.6*,5 Yr 24 Hr,911.1,941.14
UCC A - B,17506.6*,10 Yr 24 Hr,1220.9,941.48
UCC A - B,17506.6*,25 Yr 24 Hr,1934.9,942.16
UCC A - B,17506.6*,50 Yr 24 Hr,2724.2,942.7
UCC A - B,17506.6*,100 Yr 24 Hr,3791.7,943.32
UCC A - B,17506.6*,200 Yr 24 Hr,4733,943.75
UCC A - B,17506.6*,500 Yr 24 Hr,6367.6,944.34
UCC A - B,17340.33,2 Yr 24 Hr,533.6,939.26
UCC A - B,17340.33,5 Yr 24 Hr,911.1,939.76
UCC A - B,17340.33,10 Yr 24 Hr,1220.9,940.08
UCC A - B,17340.33,25 Yr 24 Hr,1934.9,940.67
UCC A - B,17340.33,50 Yr 24 Hr,2724.2,941.18
UCC A - B,17340.33,100 Yr 24 Hr,3791.7,941.73
UCC A - B,17340.33,200 Yr 24 Hr,4733,942.16
UCC A - B,17340.33,500 Yr 24 Hr,6367.6,942.71
UCC A - B,17177.4*,2 Yr 24 Hr,533.6,938.23
UCC A - B,17177.4*,5 Yr 24 Hr,911.1,938.66
UCC A - B,17177.4*,10 Yr 24 Hr,1220.9,938.94
UCC A - B,17177.4*,25 Yr 24 Hr,1934.9,939.38
UCC A - B,17177.4*,50 Yr 24 Hr,2724.2,939.81
UCC A - B,17177.4*,100 Yr 24 Hr,3791.7,940.23
UCC A - B,17177.4*,200 Yr 24 Hr,4733,940.55
UCC A - B,17177.4*,500 Yr 24 Hr,6367.6,941.01
UCC A - B,17014.4*,2 Yr 24 Hr,533.6,935.77
UCC A - B,17014.4*,5 Yr 24 Hr,911.1,936.11
UCC A - B,17014.4*,10 Yr 24 Hr,1220.9,936.35
UCC A - B,17014.4*,25 Yr 24 Hr,1934.9,936.81
UCC A - B,17014.4*,50 Yr 24 Hr,2724.2,937.26
UCC A - B,17014.4*,100 Yr 24 Hr,3791.7,937.79
UCC A - B,17014.4*,200 Yr 24 Hr,4733,938.19
UCC A - B,17014.4*,500 Yr 24 Hr,6367.6,938.81
UCC A - B,16851.53,2 Yr 24 Hr,533.6,934.81
UCC A - B,16851.53,5 Yr 24 Hr,911.1,935.23
UCC A - B,16851.53,10 Yr 24 Hr,1220.9,935.5
UCC A - B,16851.53,25 Yr 24 Hr,1934.9,936.03
UCC A - B,16851.53,50 Yr 24 Hr,2724.2,936.51
UCC A - B,16851.53,100 Yr 24 Hr,3791.7,937.06
UCC A - B,16851.53,200 Yr 24 Hr,4733,937.48
UCC A - B,16851.53,500 Yr 24 Hr,6367.6,938.12
UCC A - B,16687.2*,2 Yr 24 Hr,533.6,934.37
UCC A - B,16687.2*,5 Yr 24 Hr,911.1,934.8
UCC A - B,16687.2*,10 Yr 24 Hr,1220.9,935.07
UCC A - B,16687.2*,25 Yr 24 Hr,1934.9,935.59
UCC A - B,16687.2*,50 Yr 24 Hr,2724.2,936.06
UCC A - B,16687.2*,100 Yr 24 Hr,3791.7,936.58
UCC A - B,16687.2*,200 Yr 24 Hr,4733,936.99
UCC A - B,16687.2*,500 Yr 24 Hr,6367.6,937.6
UCC A - B,16522.9*,2 Yr 24 Hr,533.6,933.78
UCC A - B,16522.9*,5 Yr 24 Hr,911.1,934.22
UCC A - B,16522.9*,10 Yr 24 Hr,1220.9,934.48
UCC A - B,16522.9*,25 Yr 24 Hr,1934.9,934.97
UCC A - B,16522.9*,50 Yr 24 Hr,2724.2,935.4
UCC A - B,16522.9*,100 Yr 24 Hr,3791.7,935.89
UCC A - B,16522.9*,200 Yr 24 Hr,4733,936.26
UCC A - B,16522.9*,500 Yr 24 Hr,6367.6,936.83
UCC A - B,16358.65,2 Yr 24 Hr,533.6,932.86
UCC A - B,16358.65,5 Yr 24 Hr,911.1,933.28
UCC A - B,16358.65,10 Yr 24 Hr,1220.9,933.53
UCC A - B,16358.65,25 Yr 24 Hr,1934.9,934
UCC A - B,16358.65,50 Yr 24 Hr,2724.2,934.41
UCC A - B,16358.65,100 Yr 24 Hr,3791.7,934.85
UCC A - B,16358.65,200 Yr 24 Hr,4733,935.19
UCC A - B,16358.65,500 Yr 24 Hr,6367.6,935.72
UCC A - B,16195.9*,2 Yr 24 Hr,533.6,931.65
UCC A - B,16195.9*,5 Yr 24 Hr,911.1,932.04
UCC A - B,16195.9*,10 Yr 24 Hr,1220.9,932.28
UCC A - B,16195.9*,25 Yr 24 Hr,1934.9,932.71
UCC A - B,16195.9*,50 Yr 24 Hr,2724.2,933.09
UCC A - B,16195.9*,100 Yr 24 Hr,3791.7,933.5
UCC A - B,16195.9*,200 Yr 24 Hr,4733,933.84
UCC A - B,16195.9*,500 Yr 24 Hr,6367.6,934.36
UCC A - B,16033.2*,2 Yr 24 Hr,533.6,930.22
UCC A - B,16033.2*,5 Yr 24 Hr,911.1,930.55
UCC A - B,16033.2*,10 Yr 24 Hr,1220.9,930.76
UCC A - B,16033.2*,25 Yr 24 Hr,1934.9,931.15
UCC A - B,16033.2*,50 Yr 24 Hr,2724.2,931.52
UCC A - B,16033.2*,100 Yr 24 Hr,3791.7,931.96
UCC A - B,16033.2*,200 Yr 24 Hr,4733,932.32
UCC A - B,16033.2*,500 Yr 24 Hr,6367.6,932.87
UCC A - B,15870.48,2 Yr 24 Hr,533.6,928.91
UCC A - B,15870.48,5 Yr 24 Hr,911.1,929.24
UCC A - B,15870.48,10 Yr 24 Hr,1220.9,929.47
UCC A - B,15870.48,25 Yr 24 Hr,1934.9,929.9
UCC A - B,15870.48,50 Yr 24 Hr,2724.2,930.31
UCC A - B,15870.48,100 Yr 24 Hr,3791.7,930.79
UCC A - B,15870.48,200 Yr 24 Hr,4733,931.18
UCC A - B,15870.48,500 Yr 24 Hr,6367.6,931.77
UCC A - B,15701.5*,2 Yr 24 Hr,533.6,927.8
UCC A - B,15701.5*,5 Yr 24 Hr,911.1,928.16
UCC A - B,15701.5*,10 Yr 24 Hr,1220.9,928.39
UCC A - B,15701.5*,25 Yr 24 Hr,1934.9,928.85
UCC A - B,15701.5*,50 Yr 24 Hr,2724.2,929.27
UCC A - B,15701.5*,100 Yr 24 Hr,3791.7,929.77
UCC A - B,15701.5*,200 Yr 24 Hr,4733,930.16
UCC A - B,15701.5*,500 Yr 24 Hr,6367.6,930.78
UCC A - B,15532.6*,2 Yr 24 Hr,533.6,926.59
UCC A - B,15532.6*,5 Yr 24 Hr,911.1,926.97
UCC A - B,15532.6*,10 Yr 24 Hr,1220.9,927.23
UCC A - B,15532.6*,25 Yr 24 Hr,1934.9,927.7
UCC A - B,15532.6*,50 Yr 24 Hr,2724.2,928.13
UCC A - B,15532.6*,100 Yr 24 Hr,3791.7,928.65
UCC A - B,15532.6*,200 Yr 24 Hr,4733,929.07
UCC A - B,15532.6*,500 Yr 24 Hr,6367.6,929.71
UCC A - B,15363.67,2 Yr 24 Hr,533.6,925.33
UCC A - B,15363.67,5 Yr 24 Hr,911.1,925.76
UCC A - B,15363.67,10 Yr 24 Hr,1220.9,926.03
UCC A - B,15363.67,25 Yr 24 Hr,1934.9,926.53
UCC A - B,15363.67,50 Yr 24 Hr,2724.2,927
UCC A - B,15363.67,100 Yr 24 Hr,3791.7,927.56
UCC A - B,15363.67,200 Yr 24 Hr,4733,927.99
UCC A - B,15363.67,500 Yr 24 Hr,6367.6,928.65
UCC A - B,15199.3*,2 Yr 24 Hr,533.6,924.14
UCC A - B,15199.3*,5 Yr 24 Hr,911.1,924.56
UCC A - B,15199.3*,10 Yr 24 Hr,1220.9,924.85
UCC A - B,15199.3*,25 Yr 24 Hr,1934.9,925.4
UCC A - B,15199.3*,50 Yr 24 Hr,2724.2,925.91
UCC A - B,15199.3*,100 Yr 24 Hr,3791.7,926.49
UCC A - B,15199.3*,200 Yr 24 Hr,4733,926.94
UCC A - B,15199.3*,500 Yr 24 Hr,6367.6,927.64
UCC A - B,15035.0*,2 Yr 24 Hr,533.6,922.74
UCC A - B,15035.0*,5 Yr 24 Hr,911.1,923.3
UCC A - B,15035.0*,10 Yr 24 Hr,1220.9,923.68
UCC A - B,15035.0*,25 Yr 24 Hr,1934.9,924.33
UCC A - B,15035.0*,50 Yr 24 Hr,2724.2,924.87
UCC A - B,15035.0*,100 Yr 24 Hr,3791.7,925.49
UCC A - B,15035.0*,200 Yr 24 Hr,4733,925.96
UCC A - B,15035.0*,500 Yr 24 Hr,6367.6,926.67
UCC A - B,14870.75,2 Yr 24 Hr,533.6,921.99
UCC A - B,14870.75,5 Yr 24 Hr,911.1,922.64
UCC A - B,14870.75,10 Yr 24 Hr,1220.9,923
UCC A - B,14870.75,25 Yr 24 Hr,1934.9,923.61
UCC A - B,14870.75,50 Yr 24 Hr,2724.2,924.14
UCC A - B,14870.75,100 Yr 24 Hr,3791.7,924.74
UCC A - B,14870.75,200 Yr 24 Hr,4733,925.19
UCC A - B,14870.75,500 Yr 24 Hr,6367.6,925.89
UCC A - B,14708.5*,2 Yr 24 Hr,533.6,921.18
UCC A - B,14708.5*,5 Yr 24 Hr,911.1,921.83
UCC A - B,14708.5*,10 Yr 24 Hr,1220.9,922.18
UCC A - B,14708.5*,25 Yr 24 Hr,1934.9,922.78
UCC A - B,14708.5*,50 Yr 24 Hr,2724.2,923.29
UCC A - B,14708.5*,100 Yr 24 Hr,3791.7,923.87
UCC A - B,14708.5*,200 Yr 24 Hr,4733,924.32
UCC A - B,14708.5*,500 Yr 24 Hr,6367.6,925
UCC A - B,14546.4*,2 Yr 24 Hr,533.6,919.64
UCC A - B,14546.4*,5 Yr 24 Hr,911.1,920.31
UCC A - B,14546.4*,10 Yr 24 Hr,1220.9,920.71
UCC A - B,14546.4*,25 Yr 24 Hr,1934.9,921.44
UCC A - B,14546.4*,50 Yr 24 Hr,2724.2,922.03
UCC A - B,14546.4*,100 Yr 24 Hr,3791.7,922.65
UCC A - B,14546.4*,200 Yr 24 Hr,4733,923.11
UCC A - B,14546.4*,500 Yr 24 Hr,6367.6,923.82
UCC A - B,14384.23,2 Yr 24 Hr,533.6,918.92
UCC A - B,14384.23,5 Yr 24 Hr,911.1,919.56
UCC A - B,14384.23,10 Yr 24 Hr,1220.9,919.93
UCC A - B,14384.23,25 Yr 24 Hr,1934.9,920.59
UCC A - B,14384.23,50 Yr 24 Hr,2724.2,921.15
UCC A - B,14384.23,100 Yr 24 Hr,3791.7,921.72
UCC A - B,14384.23,200 Yr 24 Hr,4733,922.15
UCC A - B,14384.23,500 Yr 24 Hr,6367.6,922.8
UCC A - B,14221.4*,2 Yr 24 Hr,533.6,918.41
UCC A - B,14221.4*,5 Yr 24 Hr,911.1,918.97
UCC A - B,14221.4*,10 Yr 24 Hr,1220.9,919.29
UCC A - B,14221.4*,25 Yr 24 Hr,1934.9,919.82
UCC A - B,14221.4*,50 Yr 24 Hr,2724.2,920.28
UCC A - B,14221.4*,100 Yr 24 Hr,3791.7,920.76
UCC A - B,14221.4*,200 Yr 24 Hr,4733,921.14
UCC A - B,14221.4*,500 Yr 24 Hr,6367.6,921.72
UCC A - B,14058.7*,2 Yr 24 Hr,533.6,917.41
UCC A - B,14058.7*,5 Yr 24 Hr,911.1,917.8
UCC A - B,14058.7*,10 Yr 24 Hr,1220.9,918.04
UCC A - B,14058.7*,25 Yr 24 Hr,1934.9,918.47
UCC A - B,14058.7*,50 Yr 24 Hr,2724.2,918.88
UCC A - B,14058.7*,100 Yr 24 Hr,3791.7,919.37
UCC A - B,14058.7*,200 Yr 24 Hr,4733,919.77
UCC A - B,14058.7*,500 Yr 24 Hr,6367.6,920.39
UCC A - B,13896.02,2 Yr 24 Hr,533.6,916.31
UCC A - B,13896.02,5 Yr 24 Hr,911.1,916.68
UCC A - B,13896.02,10 Yr 24 Hr,1220.9,916.93
UCC A - B,13896.02,25 Yr 24 Hr,1934.9,917.43
UCC A - B,13896.02,50 Yr 24 Hr,2724.2,917.91
UCC A - B,13896.02,100 Yr 24 Hr,3791.7,918.47
UCC A - B,13896.02,200 Yr 24 Hr,4733,918.91
UCC A - B,13896.02,500 Yr 24 Hr,6367.6,919.59
UCC A - B,13738.4*,2 Yr 24 Hr,533.6,915.51
UCC A - B,13738.4*,5 Yr 24 Hr,911.1,915.88
UCC A - B,13738.4*,10 Yr 24 Hr,1220.9,916.15
UCC A - B,13738.4*,25 Yr 24 Hr,1934.9,916.7
UCC A - B,13738.4*,50 Yr 24 Hr,2724.2,917.21
UCC A - B,13738.4*,100 Yr 24 Hr,3791.7,917.81
UCC A - B,13738.4*,200 Yr 24 Hr,4733,918.26
UCC A - B,13738.4*,500 Yr 24 Hr,6367.6,918.97
UCC A - B,13580.8*,2 Yr 24 Hr,533.6,914.66
UCC A - B,13580.8*,5 Yr 24 Hr,911.1,915.12
UCC A - B,13580.8*,10 Yr 24 Hr,1220.9,915.44
UCC A - B,13580.8*,25 Yr 24 Hr,1934.9,916.05
UCC A - B,13580.8*,50 Yr 24 Hr,2724.2,916.6
UCC A - B,13580.8*,100 Yr 24 Hr,3791.7,917.22
UCC A - B,13580.8*,200 Yr 24 Hr,4733,917.68
UCC A - B,13580.8*,500 Yr 24 Hr,6367.6,918.39
UCC A - B,13423.19,2 Yr 24 Hr,533.6,914.18
UCC A - B,13423.19,5 Yr 24 Hr,911.1,914.71
UCC A - B,13423.19,10 Yr 24 Hr,1220.9,915.05
UCC A - B,13423.19,25 Yr 24 Hr,1934.9,915.67
UCC A - B,13423.19,50 Yr 24 Hr,2724.2,916.22
UCC A - B,13423.19,100 Yr 24 Hr,3791.7,916.82
UCC A - B,13423.19,200 Yr 24 Hr,4733,917.28
UCC A - B,13423.19,500 Yr 24 Hr,6367.6,917.96
UCC A - B,13276.3*,2 Yr 24 Hr,533.6,913.75
UCC A - B,13276.3*,5 Yr 24 Hr,911.1,914.35
UCC A - B,13276.3*,10 Yr 24 Hr,1220.9,914.69
UCC A - B,13276.3*,25 Yr 24 Hr,1934.9,915.29
UCC A - B,13276.3*,50 Yr 24 Hr,2724.2,915.81
UCC A - B,13276.3*,100 Yr 24 Hr,3791.7,916.38
UCC A - B,13276.3*,200 Yr 24 Hr,4733,916.8
UCC A - B,13276.3*,500 Yr 24 Hr,6367.6,917.45
UCC A - B,13129.5*,2 Yr 24 Hr,533.6,912.64
UCC A - B,13129.5*,5 Yr 24 Hr,911.1,913.61
UCC A - B,13129.5*,10 Yr 24 Hr,1220.9,913.99
UCC A - B,13129.5*,25 Yr 24 Hr,1934.9,914.54
UCC A - B,13129.5*,50 Yr 24 Hr,2724.2,915
UCC A - B,13129.5*,100 Yr 24 Hr,3791.7,915.49
UCC A - B,13129.5*,200 Yr 24 Hr,4733,915.86
UCC A - B,13129.5*,500 Yr 24 Hr,6367.6,916.41
UCC A - B,12982.67,2 Yr 24 Hr,533.6,911.32
UCC A - B,12982.67,5 Yr 24 Hr,911.1,912.44
UCC A - B,12982.67,10 Yr 24 Hr,1220.9,912.85
UCC A - B,12982.67,25 Yr 24 Hr,1934.9,913.39
UCC A - B,12982.67,50 Yr 24 Hr,2724.2,913.82
UCC A - B,12982.67,100 Yr 24 Hr,3791.7,914.29
UCC A - B,12982.67,200 Yr 24 Hr,4733,914.63
UCC A - B,12982.67,500 Yr 24 Hr,6367.6,915.17
UCC A - B,12798.8*,2 Yr 24 Hr,533.6,909.88
UCC A - B,12798.8*,5 Yr 24 Hr,911.1,910.77
UCC A - B,12798.8*,10 Yr 24 Hr,1220.9,911.17
UCC A - B,12798.8*,25 Yr 24 Hr,1934.9,911.74
UCC A - B,12798.8*,50 Yr 24 Hr,2724.2,912.15
UCC A - B,12798.8*,100 Yr 24 Hr,3791.7,912.62
UCC A - B,12798.8*,200 Yr 24 Hr,4733,912.97
UCC A - B,12798.8*,500 Yr 24 Hr,6367.6,913.51
UCC A - B,12615.0*,2 Yr 24 Hr,533.6,908.32
UCC A - B,12615.0*,5 Yr 24 Hr,911.1,909.08
UCC A - B,12615.0*,10 Yr 24 Hr,1220.9,909.47
UCC A - B,12615.0*,25 Yr 24 Hr,1934.9,910.07
UCC A - B,12615.0*,50 Yr 24 Hr,2724.2,910.5
UCC A - B,12615.0*,100 Yr 24 Hr,3791.7,910.94
UCC A - B,12615.0*,200 Yr 24 Hr,4733,911.29
UCC A - B,12615.0*,500 Yr 24 Hr,6367.6,911.8
UCC A - B,12431.18,2 Yr 24 Hr,533.6,906.59
UCC A - B,12431.18,5 Yr 24 Hr,911.1,907.35
UCC A - B,12431.18,10 Yr 24 Hr,1220.9,907.78
UCC A - B,12431.18,25 Yr 24 Hr,1934.9,908.41
UCC A - B,12431.18,50 Yr 24 Hr,2724.2,908.82
UCC A - B,12431.18,100 Yr 24 Hr,3791.7,909.26
UCC A - B,12431.18,200 Yr 24 Hr,4733,909.6
UCC A - B,12431.18,500 Yr 24 Hr,6367.6,910.12
UCC A - B,12262.8*,2 Yr 24 Hr,533.6,904.93
UCC A - B,12262.8*,5 Yr 24 Hr,911.1,905.71
UCC A - B,12262.8*,10 Yr 24 Hr,1220.9,906.17
UCC A - B,12262.8*,25 Yr 24 Hr,1934.9,906.82
UCC A - B,12262.8*,50 Yr 24 Hr,2724.2,907.25
UCC A - B,12262.8*,100 Yr 24 Hr,3791.7,907.7
UCC A - B,12262.8*,200 Yr 24 Hr,4733,908.04
UCC A - B,12262.8*,500 Yr 24 Hr,6367.6,908.56
UCC A - B,12094.5*,2 Yr 24 Hr,533.6,903.28
UCC A - B,12094.5*,5 Yr 24 Hr,911.1,904.05
UCC A - B,12094.5*,10 Yr 24 Hr,1220.9,904.48
UCC A - B,12094.5*,25 Yr 24 Hr,1934.9,905.16
UCC A - B,12094.5*,50 Yr 24 Hr,2724.2,905.66
UCC A - B,12094.5*,100 Yr 24 Hr,3791.7,906.13
UCC A - B,12094.5*,200 Yr 24 Hr,4733,906.48
UCC A - B,12094.5*,500 Yr 24 Hr,6367.6,907.01
UCC A - B,11926.24,2 Yr 24 Hr,533.6,902
UCC A - B,11926.24,5 Yr 24 Hr,911.1,902.65
UCC A - B,11926.24,10 Yr 24 Hr,1220.9,903.01
UCC A - B,11926.24,25 Yr 24 Hr,1934.9,903.62
UCC A - B,11926.24,50 Yr 24 Hr,2724.2,904.07
UCC A - B,11926.24,100 Yr 24 Hr,3791.7,904.54
UCC A - B,11926.24,200 Yr 24 Hr,4733,904.89
UCC A - B,11926.24,500 Yr 24 Hr,6367.6,905.45
UCC A - B,11766.1*,2 Yr 24 Hr,533.6,900.87
UCC A - B,11766.1*,5 Yr 24 Hr,911.1,901.34
UCC A - B,11766.1*,10 Yr 24 Hr,1220.9,901.65
UCC A - B,11766.1*,25 Yr 24 Hr,1934.9,902.16
UCC A - B,11766.1*,50 Yr 24 Hr,2724.2,902.57
UCC A - B,11766.1*,100 Yr 24 Hr,3791.7,903.06
UCC A - B,11766.1*,200 Yr 24 Hr,4733,903.45
UCC A - B,11766.1*,500 Yr 24 Hr,6367.6,904.08
UCC A - B,11606.1*,2 Yr 24 Hr,533.6,899.2
UCC A - B,11606.1*,5 Yr 24 Hr,911.1,899.78
UCC A - B,11606.1*,10 Yr 24 Hr,1220.9,900.11
UCC A - B,11606.1*,25 Yr 24 Hr,1934.9,900.72
UCC A - B,11606.1*,50 Yr 24 Hr,2724.2,901.23
UCC A - B,11606.1*,100 Yr 24 Hr,3791.7,901.82
UCC A - B,11606.1*,200 Yr 24 Hr,4733,902.27
UCC A - B,11606.1*,500 Yr 24 Hr,6367.6,902.98
UCC A - B,11446.07,2 Yr 24 Hr,533.6,898.35
UCC A - B,11446.07,5 Yr 24 Hr,911.1,899.03
UCC A - B,11446.07,10 Yr 24 Hr,1220.9,899.37
UCC A - B,11446.07,25 Yr 24 Hr,1934.9,900
UCC A - B,11446.07,50 Yr 24 Hr,2724.2,900.53
UCC A - B,11446.07,100 Yr 24 Hr,3791.7,901.14
UCC A - B,11446.07,200 Yr 24 Hr,4733,901.61
UCC A - B,11446.07,500 Yr 24 Hr,6367.6,902.33
UCC A - B,11248.5*,2 Yr 24 Hr,533.6,897.72
UCC A - B,11248.5*,5 Yr 24 Hr,911.1,898.4
UCC A - B,11248.5*,10 Yr 24 Hr,1220.9,898.78
UCC A - B,11248.5*,25 Yr 24 Hr,1934.9,899.39
UCC A - B,11248.5*,50 Yr 24 Hr,2724.2,899.92
UCC A - B,11248.5*,100 Yr 24 Hr,3791.7,900.51
UCC A - B,11248.5*,200 Yr 24 Hr,4733,900.97
UCC A - B,11248.5*,500 Yr 24 Hr,6367.6,901.69
UCC A - B,11050.9*,2 Yr 24 Hr,533.6,896.96
UCC A - B,11050.9*,5 Yr 24 Hr,911.1,897.68
UCC A - B,11050.9*,10 Yr 24 Hr,1220.9,898.11
UCC A - B,11050.9*,25 Yr 24 Hr,1934.9,898.75
