RAS Reach,HMS Contributing Element,HMS Contributing Element Name,HMS Reach,HMS to DSS syntax,Key Station Number,Additional Subbasins Junction Takes,Affected Station numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCC A - MCC B,Subbasin,Middle Coon Creek A,MCC A - MCC B,MCC A - MCC B,38709.59,,38709.59,38585.9*,38462.3,38278.2*,38094.19,37963.0*,37831.85,37711.3*,37590.77,37416.8*,37243.01,37089.1*,36935.21,36772.7*,36610.22,36421.0*,36231.87,36040.8*,35849.7*,35658.6*,35467.62,35291.4*,35115.2*,34938.99,34782.6*,34626.2*,34469.83,34308.4*,34146.9*,33985.56,33826.7*,33667.8*,33508.97,33336.9*,33164.9*,32992.95,32831.4*,32670.0*,32508.52,32329.2*,32149.9*,31970.6*,31791.29,31638.2*,31485.1*,31332.13,31156.4*,30980.7*,30805.09,30612.1*,30419.1*,30226.2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCC A - MCC B,Subbasin,Middle Coon Creek B,MCC B MCC C,MCC B MCC C,30033.24,,30033.24,29861.2*,29689.3*,29517.3*,29345.36,29161.1*,28976.8*,28792.5*,28608.33,28423.5*,28238.7*,28054.0*,27869.22,27677.1*,27484.9*,27292.8*,27100.7*,26908.6*,26716.5,26533.8*,26351.1*,26168.5*,25985.8*,25803.2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCC A - MCC B,Subbasin,Middle Coon Creek C,MCC C - MCC D,MCC C - MCC D,25620.54,,25620.54,25433.9*,25247.3*,25060.7*,24874.19,24705.5*,24536.9*,24368.3*,24199.77,24014.6*,23829.4*,23644.29,23470.0*,23295.7*,23121.4*,22947.2*,22772.95,22596.8*,22420.7*,22244.6*,22068.5*,21892.5,21723.4*,21554.3*,21385.3*,21216.26,21038.3*,20860.4*,20682.5*,20504.7*,20326.8*,20148.9*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCC A - MCC B,Subbasin,Middle Coon Creek D,MCC D - MCC E,MCC D - MCC E,19971.03,,19971.03,19787.2*,19603.5*,19419.7*,19236.0*,19052.2*,18868.5*,18684.74,18485.4*,18286.2*,18086.9*,17887.68,17705.5*,17523.4*,17341.3*,17159.2*,16977.1*,16795.0*,16612.9*,16430.86,16242.0*,16053.1*,15864.2*,15675.4*,15486.5*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCC A - MCC B,Subbasin,Middle Coon Creek E,MCC E - MCC F,MCC E - MCC F,15297.72,,15297.72,15112.9*,14928.1*,14743.3*,14558.5*,14373.7*,14188.9*,14004.0*,13819.29,13646.0*,13472.7*,13299.5*,13126.2*,12952.9*,12779.7*,12606.44,12425.0*,12243.6*,12062.2*,11880.8*,11699.4*,11518.0*,11336.6*,11155.3*,10973.91,10783.1*,10592.3*,10401.6*,10210.8*,10020.0*,9829.30*,9638.53*,9447.76,9264.59*,9081.42*,8898.26*,8715.09*,8531.92*,8348.75*,8165.59*,7982.42*,7799.25,7613.32*,7427.39*,7241.45*,7055.52*,6869.59*,6683.66*,6497.73*,6311.79*,6125.86*,5939.93,5744.30*,5548.66*,5353.03*,5157.39*,4961.76*,4766.12*,4570.49*,4374.85*,4179.22*,3983.58,3784.25*,3584.92*,3385.59*,3186.26*,2986.93*,2787.60*,2588.27*,2388.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCC H Reach 2,Junction,MCC F & MCC H,MCC H Reach 2,MCC H REACH 2,38559.55,Middle Coon Creek F,38559.55,38376.1*,38192.7*,38009.3*,37825.8*,37642.47,37458.5*,37274.5*,37090.5*,36906.6*,36722.66,36586.7*,36450.81,36285.33,36110.41,35936.7*,35763.1*,35589.5*,35415.9*,35242.27,35071.7*,34901.2*,34730.8*,34560.3*,34389.8*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCC H Reach 2,Junction,MCC J & H,MCC H Reach 3,MCC H REACH 3,34219.34,Middle Coon Creek J,34219.34,34024.1*,33828.9*,33633.7*,33438.6*,33243.42,33050.1*,32856.8*,32663.4*,32470.1*,32276.87,32080.2*,31883.5*,31686.9*,31490.2*,31293.62,31095.7*,30897.8*,30699.9*,30501.9*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCC H Reach 2,Junction,MCC I & H,MCC I & H - MCC K,MCC I & H - MCC K,30304.08,"Middle Coon Creek I, Middle Coon Creek H",30304.08,30126.5*,29949.1*,29771.6*,29594.13,29407.3*,29220.62,28900.81,28758.9*,28616.9*,28475.08,28288.7*,28102.4*,27916.1*,27729.8*,27543.5*,27357.2,27187.3*,27017.5*,26847.6*,26677.8*,26507.9*,26338.12,26147.7*,25957.4*,25767.1*,25576.8*,25386.47,25190.1*,24993.7*,24797.3*,24600.9*,24404.62,24226.6*,24048.5*,23870.5*,23692.5*,23514.51,23318.8*,23123.0*,22927.3*,22731.6*,22535.96,22338.3*,22140.6*,21943.0*,21745.4*,21547.7*,21350.1*,21152.5*,20954.8*,20757.2*,20559.6*,20361.9*,20164.33,19989.4*,19814.5*,19639.5*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCC H Reach 2,Junction,MCC L & K,MCC O Upper,MCC O UPPER,19464.66,"Middle Coon Creek L, Middle Coon Creek K",19464.66,19292.5*,19120.4*,18948.2*,18776.1*,18604.05,18405.4*,18206.8*,18008.2*,17809.6*,17611.0*,17412.4*,17213.8*,17015.2*,16816.6*,16618.05,16446.9*,16275.8*,16104.7*,15933.6*,15762.5*,15591.43,15428.6*,15265.9*,15103.2*,14940.4*,14777.75,14595.5*,14413.2*,14230.9*,14048.7*,13866.49,13699.4*,13532.4*,13365.4*,13198.4*,13031.4*,12864.45,12678.3*,12492.3*,12306.2*,12120.1*,11934.11,11736.5*,11538.9*,11341.4*,11143.8*,10946.26,10761.4*,10576.6*,10391.8*,10207.0*,10022.26,9835.13*,9647.99*,9460.86*,9273.72*,9086.59,8898.25*,8709.91*,8521.56*,8333.22*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCC H Reach 2,Junction,MCC M & O,Junction - MCC O,Junction - MCC O,8144.88,Middle Coon Creek M,8144.88,7965.59*,7786.30*,7607.01*,7427.72*,7248.43,7062.60*,6876.78*,6690.95,6514.46*,6337.97*,6161.49*,5985.00*,5808.51,5618.64*,5428.76*,5238.89,5095.88*,4952.87*,4809.86,4638.74*,4467.61*,4296.49,4125.75*,3955.01*,3784.27,3646.03*,3507.78*,3369.54,3194.68*,3019.83*,2844.97,2690.95*,2536.93*,2382.91,2216.80*,2050.69*,1884.57*,1718.46,1543.29*,1368.12*,1192.95*,1017.78,844.40* ,671.01* ,497.63* ,324.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCC N - MCC P,Subbasin,Middle Coon Creek N,MCC N - MCC P,MCC N - MCC P,16229.51,,16229.51,16044.4*,15859.4*,15674.3*,15489.3*,15304.2*,15119.2*,14934.1*,14749.12,14572.2*,14395.3*,14218.3*,14041.4*,13864.5*,13687.6*,13510.7*,13333.85,13152.2*,12970.7*,12789.1*,12607.5*,12425.9*,12244.4*,12062.8*,11881.2*,11699.68,11526.7*,11353.9*,11181.0*,11008.1*,10835.2*,10662.35,10482.9*,10303.5*,10124.0*,9944.66*,9765.24*,9585.81*,9406.39,9211.15*,9015.90*,8820.66*,8625.42*,8430.18*,8234.94*,8039.69*,7844.45,7656.63*,7468.82*,7281.00*,7093.18*,6905.36*,6717.55*,6529.73*,6341.91,6144.89*,5947.88*,5750.86*,5553.84*,5356.83*,5159.81*,4962.79*,4765.78*,4568.76*,4371.74*,4174.73*,3977.71*,3780.69*,3583.67*,3386.66*,3189.64*,2992.62*,2795.61*,2598.59,2413.22*,2227.84*,2042.47*,1857.10*,1671.73*,1486.35*,1300.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junction - LCC B,Junction,MCC O & P,Junction - LCC B,JUNCTION - LCC B,23137.98,"Middle Coon Creek O, Middle Coon Creek P",23137.98,22982.2*,22826.4*,22670.73,22504.6*,22338.6*,22172.57,22023.2*,21873.9*,21724.67,21571.6*,21418.5*,21265.46,21087.9*,20910.3*,20732.8,20562.2*,20391.7*,20221.1*,20050.6,19858.8*,19667.1*,19475.3*,19283.6,19114.3*,18945.0*,18775.7*,18606.4*,18437.11,18242.2*,18047.3*,17852.5*,17657.6*,17462.7*,17267.9*,17073.0*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junciton - LCC B,Subbasin,Lower Coon Creek B,LCC B - D,LCC B - D,16878.2,,16878.2,16699.5*,16520.8*,16342.2*,16163.5*,15984.9*,15806.2*,15627.5*,15448.93,15265.8*,15082.7*,14899.6*,14716.5*,14533.4*,14350.3*,14167.29,13976.0*,13784.8*,13593.7*,13402.5*,13211.3,13033.5*,12855.83,12677.5*,12499.3*,12321.1*,12142.8*,11964.6*,11786.3*,11608.1*,11429.91,11241.6*,11053.4*,10865.2*,10676.9*,10488.7*,10300.5*,10112.3,9935.58*,9758.86*,9582.13*,9405.41*,9228.69,9104.80*,8980.91,8946.14,8926.10*,8906.05,8743.66,8400.55,8145.16*,7889.77*,7634.37*,7378.98*,7123.59,6936.96*,6750.34*,6563.71*,6377.08*,6190.45*,6003.83*,5817.20*,5630.57,5452.24*,5273.91*,5095.58*,4917.25*,4738.92*,4560.59*,4382.26,4196.46*,4010.67*,3824.87*,3639.07*,3453.27*,3267.48*,3081.68*,2895.88*,2710.08*,2524.29*,2338.49*,2152.69,1983.11*,1813.53*,1643.96*,1474.38*,1304.8,1130.39*,955.97* ,781.56* ,607.14* ,432.73,,,,,,,,,,,,,,,,,,,,,,
LCC A - LCC C,Subbasin,Lower Coon Creek A,LCC A - LCC C,LCC A - LCC C,7795.3,,7795.3,7607.84*,7420.37*,7232.91,7042.52*,6852.14*,6661.75*,6471.37*,6280.98,6096.38*,5911.77*,5727.17*,5542.57*,5357.97*,5173.36*,4988.76,4794.08*,4599.41*,4404.73*,4210.05*,4015.37*,3820.70*,3626.02*,3431.34*,3236.66*,3041.99*,2847.31*,2652.63,2454.97*,2257.30*,2059.64*,1861.97*,1664.31,1467.88*,1271.46*,1075.03*,878.61* ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCC A - LCC C,Subbasin,Lower Coon Creek C,LCC C - Junction,LCC C - JUNCTION,682.18,,682.18,521.47* ,360.75* ,200.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junction - LCC F,Junction,LCC C & D,Junction - LCC F,JUNCTION - LCC F,48139.2,Lower Coon Creek D,48139.2,47945.7*,47752.3*,47558.9*,47365.4*,47172.0*,46978.6*,46785.2*,46591.7*,46398.3*,46204.9*,46011.49,45819.8*,45628.2*,45436.6*,45245.0*,45053.4*,44861.8*,44670.2*,44478.6*,44287.04,44102.7*,43918.3*,43734.0*,43549.6*,43365.35,43180.9*,42996.5*,42812.0*,42627.6*,42443.2*,42258.78,42078.3*,41897.8*,41717.4*,41536.9*,41356.5*,41176.0*,40995.61,40833.4*,40671.2*,40508.9*,40346.79,40198.83,40004.2*,39809.5*,39614.9*,39420.3*,39225.72,39039.6*,38853.5*,38667.4*,38481.3*,38295.2,38110.9*,37926.7*,37742.5*,37558.3*,37374.1*,37189.9*,37005.72,36855.5*,36705.4*,36555.2*,36405.13,36216.8*,36028.6*,35840.3*,35652.0*,35463.8*,35275.5*,35087.2*,34899.01,34706.3*,34513.6*,34320.9*,34128.3*,33935.6*,33742.94,33554.5*,33366.1*,33177.8*,32989.43,32807.8*,32626.1*,32444.5*,32262.9*,32081.3*,31899.6*,31718.0*,31536.44,31354.5*,31172.6*,30990.7*,30808.9*,30627.0*,30445.1*,30263.2*,30081.3*,29899.48,29718.5*,29537.6*,29356.7*,29175.8*,28994.9*,28813.9*,28633.07,28448.8*,28264.6*,28080.4*,27896.1*,27711.9*,27527.7*,27343.5*
Junction - LCC F,Junction,LCC F & E,Junction - LCC G,JUNCTION - LCC G,27159.3,"Lower Coon Creek F, Lower Coon Creek E",27159.3,26969.0*,26778.8*,26588.5*,26398.3*,26208.0*,26017.8*,25827.6*,25637.3*,25447.1*,25256.8*,25066.6*,24876.4*,24686.16,24505.3*,24324.5*,24143.7*,23962.9*,23782.1*,23601.35,23405.7*,23210.1*,23014.5*,22818.9*,22623.3*,22427.7*,22232.1*,22036.6,21846.7*,21656.8*,21467.0*,21277.1*,21087.28,20902.2*,20717.3*,20532.3*,20347.3*,20162.3*,19977.3*,19792.3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junction - LCC F,Subbasin,Lower Coon Creek G,LCC g - LCC H,LCC G - LCC H,19607.41,,19607.41,19420.9*,19234.5*,19048.1*,18861.6*,18675.2*,18488.79,18303.9*,18119.0*,17934.1*,17749.3*,17564.4*,17379.56,17197.6*,17015.7*,16833.8*,16651.9*,16470.1*,16288.2*,16106.3*,15924.4*,15742.53,15558.9*,15375.4*,15191.8*,15008.3*,14824.7*,14641.1*,14457.6*,14274.0*,14090.5*,13906.97,13722.9*,13538.8*,13354.7*,13170.6*,12986.6*,12802.5*,12618.4*,12434.39,12238.5*,12042.6*,11846.7*,11650.8*,11454.9*,11259.0*,11063.2*,10867.3*,10671.4*,10475.5*,10279.67,10086.2*,9892.85*,9699.43*,9506.02*,9312.61*,9119.20*,8925.79*,8732.37*,8538.96*,8345.55,8159.66*,7973.77*,7787.88*,7601.99*,7416.10*,7230.22*,7044.33*,6858.44*,6672.55*,6486.66*,6300.77*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junction - LCC F,Subbasin,Lower Coon Creek H,LCC H - Junction,LCC H - JUNCTION,6114.88,,6114.88,5937.00*,5759.12*,5581.24*,5403.36*,5225.49*,5047.61*,4869.73*,4691.85*,4513.97,4320.48*,4126.98*,3933.49*,3740.00*,3546.50*,3353.01*,3159.51*,2966.02*,2772.53*,2579.03*,2385.54*,2192.04*,1998.55,1822.50*,1646.45*,1470.40*,1294.35*,1118.29*,942.24* ,766.19* ,590.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower CC I into J,Subbasin,Lower Coon Creek I,Lower CC I into J,Lower CC I INTO J,578.15,,578.15,398.59* ,219.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junction - LCC J,Junction,LCC I & LCC H,Junction - LCC J,JUNCTION - LCC J,10184.34,*outlet flow is not represented as discussed in Documented_Methods_Thoughts_toThesis,10184.34,9984.61*,9784.88*,9585.15*,9385.43*,9185.70*,8985.97*,8786.24*,8586.51*,8386.78*,8187.06*,7987.33*,7787.60*,7587.87*,7388.14*,7188.41*,6988.69*,6788.96*,6589.23*,6389.5,6196.21*,6002.93*,5809.64*,5616.35*,5423.07*,5229.78*,5036.49*,4843.21*,4649.92*,4456.63*,4263.35*,4070.06*,3876.77*,3683.49*,3490.20*,3296.91*,3103.63*,2910.34*,2717.05*,2523.77*,2330.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
