RAS Reach,HMS Contributing Element,HMS Contributing Element Name,HMS Reach,HMS to DSS syntax,Key Station Number,Additional Subbasins Junction Takes,Affected Station numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junction - Junction TC A,Junction,CC24 & CC23,Junction - Junction TC A,JUNCTION - JUNCTION TC A,4527.34,,4527.34,4399.29*,4271.23,4133.70*,3996.16,3566.23,3426.03*,3285.83,3118.30*,2950.78*,2783.25,2602.35*,2421.45*,2240.55,2100.54*,1960.52*,1820.51,1649.68*,1478.84*,1308.01,1154.10*,1000.20*,846.29,682.40* ,518.51* ,354.62,228.01* ,101.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC25 - Junction,Subbasin,COON CREEK 25,CC25 - Junction,CC25 - JUNCTION,1232.49,,1232.49,1066.38,949.28,783.62,591.45,487.05* ,382.65,270.62* ,158.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junction - TC A,Junction,CC25 & Junction,Junction - TC A,JUNCTION - TC A,4267.35,,4267.35,4075.59,3905.84*,3736.08,3578.95*,3421.82*,3264.69,3110.90*,2957.11*,2803.32,2650.17*,2497.03*,2343.88,2174.58*,2005.28*,1835.98,1693.52*,1551.07*,1408.61,1288.1,1167.32,985.73* ,804.13,649.29* ,494.44* ,339.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC21 - TC A,Subbasin,COON CREEK 21,CC21 - TC A,CC21 - TC A,11625.38,,11625.38,11486.02,11321.54,11139.15,10961.32,10859.7*,10758.18,10614.08,10504.9*,10395.85,10249.6*,10103.5*,9957.34,9759.74*,9562.14,9421.05*,9279.96*,9138.87,8969.33*,8799.79,8663.79*,8527.79*,8391.79,8197.48*,8003.16,7807.71*,7612.25,7412.69*,7213.13,7074.82*,6936.50*,6798.19,6652.01*,6505.82,6370.37*,6234.93*,6099.48,5938.55*,5777.62,5637.82*,5498.01*,5358.21,5218.51*,5078.81*,4939.11,4770.59*,4602.06,4461.77*,4321.47*,4181.18,4042.69*,3904.21*,3765.72,3581.63*,3397.54,3206.78*,3016.02,2873.80*,2731.57*,2589.35,2397.05*,2204.75,2064.71*,1924.67*,1784.63,1615.12*,1445.6,1262.21*,1078.82,897.80* ,716.79,550.06* ,383.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC A TC C,Junction,TC A out,TC A - TC C,TC A - TC C,12950.3,Timber Coulee A,12950.3,12770.8*,12591.3*,12411.93,12256.4*,12101.0*,11945.5*,11790.11,11594.7*,11399.47,11237.6*,11075.7*,10913.88,10744.2*,10574.5*,10404.9*,10235.31,10068.4*,9901.62*,9734.78*,9567.93*,9401.09,9210.30*,9019.52*,8828.73*,8637.94*,8447.16*,8256.37,8081.79*,7907.20*,7732.62*,7558.03*,7383.45,7208.37*,7033.29*,6858.21*,6683.12*,6508.04*,6332.96,6148.21*,5963.46*,5778.70*,5593.95*,5409.2,5226.89,5088.11,4985.30*,4882.49,4717.27*,4552.05*,4386.83,4218.90*,4050.97*,3883.05*,3715.12*,3547.19*,3379.26,3210.30*,3041.34*,2872.38*,2703.42*,2534.46*,2365.5,2182.76*,2000.03*,1817.29*,1634.56*,1451.82,1274.48*,1097.14*,919.81* ,742.47* ,565.13* ,387.79,343.54,194.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC17 - Junction,Subbasin,COON CREEK 17,CC 17 - Junction,CC 17 - JUNCTION,3627.17,,3627.17,3474.37,3281.5,3180.99*,3080.48,2881.06,2682.57,2487.51,2297.63,2152.95*,2008.27,1904.91*,1801.54,1700.51*,1599.48,1408.85,1224.74,1100.48*,976.21,843.64,712.73,587.98,408.27,299.93* ,191.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC16 - Junction,Subbasin,COON CREEK 16,CC16 - Junction,CC16 - JUNCTION,2790.94,,2790.94,2690.27*,2589.59,2396.84,2228.36,2045.48,1871.67,1674.98,1571.60*,1468.22,1347.18*,1226.13,1124.20*,1022.26,823.37,641.12,539.50* ,437.88,245.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC B Reach 1,Junction,CC16 & 17,TC B Reach 1,TC B REACH 1,1662.23,,1662.23,1466.64,1293.32*,1120,942.46* ,764.91* ,587.37,412.32* ,237.28* ,62.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC15 - Junction,Subbasin,COON CREEK 15,CC15 - Junction,CC15 - JUNCTION,4921.17,,4921.17,4823.74,4635.99,4529.10*,4422.2,4318.71*,4215.21,4050.22,3853.64,3680.97,3545.67*,3410.36,3214.82,3025.87,2923.93*,2821.98,2630.02,2507.21*,2384.4,2278.52*,2172.64,1984.19,1872.61*,1761.03,1567.53,1383.46,1259.03,1147.19*,1035.34,847.38,731.83* ,616.27,433.08,332.45* ,231.81,46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC B Reach 2,Junction,CC15,TC B reach 2,TC B REACH 2,951.5,,951.5,773.33* ,595.15* ,416.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
