RAS Reach,HMS Contributing Element,HMS Contributing Element Name,HMS Reach,Key Station Number,Additional Subbasins Junction Takes,Affected Station numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFK16 - KC WFK E,Subbasin,West Fork Kickapoo 16,WFK16 - KC WFK E,5429.81,,5429.81,5346.20*,5262.58,5164.10*,5065.61,4977.76,4866.86,4799.75*,4732.64*,4665.53,4596.77*,4528.00*,4459.24,4360.12*,4260.99,4163.15*,4065.31,3966.21*,3867.1,3770.95*,3674.79,3602.50*,3530.21*,3457.92,3365.75*,3273.57,3178.57*,3083.57,3009.50*,2935.44*,2861.37,2791.42*,2721.47*,2651.52,2556.84*,2462.15,2393.26*,2324.36*,2255.47,2188.45*,2121.43*,2054.41,1985.14*,1915.87*,1846.6,1768.52*,1690.44*,1612.36,1538.46*,1464.56*,1390.66,1304.56*,1218.46*,1132.36*,1046.26*,960.16,874.29* ,788.43* ,702.56* ,616.70* ,530.83* ,444.97* ,359.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KC WFK E - Junction,Junction,WFK 16 & KC WFK E,KC WFK E - Junction,1689.83,Knapp Creek - WFK E,1689.83,1496.77*,1303.7,1131.70*,959.7,839.19* ,718.68,561.48* ,404.28* ,247.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFK 3 - KC WFK F,Subbasin,WEST FORK KICKAPOO 3,WFK 3 - KC WFK F,12749.08,,12749.08,12679.1*,12609.12,12539.9*,12470.8*,12401.74,12315.6*,12229.5,12152.8*,12076.2*,11999.68,11923.2*,11846.9*,11770.52,11702.2*,11634.0*,11565.82,11497.8*,11429.8*,11361.9,11278.5*,11195.11,11103.7*,11012.31,10938.7*,10865.1*,10791.6,10703.6*,10615.6*,10527.69,10447.5*,10367.3*,10287.12,10187.1*,10087.21,9998.41*,9909.61*,9820.80*,9732,9639.25*,9546.50*,9453.74*,9360.99,9264.59*,9168.20*,9071.80*,8975.4,8893.60*,8811.79*,8729.98*,8648.18*,8566.37,8466.76*,8367.14,8270.18*,8173.22,8076.83*,7980.44*,7884.04*,7787.65,7715.00*,7642.34*,7569.69,7491.11*,7412.53*,7333.95,7242.27*,7150.59*,7058.91*,6967.23,6873.92*,6780.61*,6687.31*,6594.00*,6500.69,6408.36*,6316.04*,6223.71,6149.26*,6074.80*,6000.35,5903.88*,5807.4,5695.69,5649.71*,5603.72,5551.29*,5498.85,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFK 3 - KC WFK F,Subbasin,Knapp Creek - WFK F,KC WFK F - Junction,5350.41,,5350.41,5266.54*,5182.66,5087.30*,4991.95*,4896.59*,4801.23,4734.32*,4667.41,4522.16,4487.14*,4452.13*,4417.11,4333.70*,4250.29,4161.73*,4073.17*,3984.61*,3896.05*,3807.49,3708.46*,3609.44*,3510.41*,3411.39*,3312.36,3213.02*,3113.67*,3014.33*,2914.98,2830.35*,2745.72*,2661.10*,2576.47*,2491.84,2393.59*,2295.34*,2197.09*,2098.84,2002.82*,1906.80*,1810.78*,1714.76,1653.86*,1592.95,1465.08,1382.81*,1300.53,1203.43*,1106.32,1017.04,936.45* ,855.86* ,775.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junction - Junct,Junction,KC WFK E & KC WFK F,Junction - Junction,10798.11,,10798.11,10628.4*,10458.7*,10289.11,10125.0*,9960.95*,9796.87,9603.71*,9410.56*,9217.4,9073.29*,8929.18*,8785.07,8629.60*,8474.13*,8318.66,8163.79*,8008.93*,7854.06,7660.29*,7466.52,7318.23,7184.91,7082.39*,6979.86,6821.51*,6663.16*,6504.81*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junction - Junct,Junction,KC WFK G & Junction,Junction - KC WFK H,6346.46,Knapp Creek - WFK G,6346.46,6182.40*,6018.34*,5854.28,5689.16*,5524.05*,5358.93,5192.92*,5026.91*,4860.9,4693.52*,4526.15*,4358.77,4217.06*,4075.35*,3933.64,3797.99,3680.32,3537.59*,3394.86,3242.44*,3090.02*,2937.6,2764.34*,2591.09*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junction - Junct,Subbasin,Knapp Creek - WFK I,KC WFK H & I - Junction,2417.83,Knapp Creek - WFK H,2417.83,2283.52*,2149.22*,2014.91,1841.73*,1668.54*,1495.36,1331.36*,1167.37*,1003.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFK 12 - KC,Subbasin,West Fork Kickapoo 12,WFK 12 - KC WFK L,6721.04,,6721.04,6655.12*,6589.19,6516.17*,6443.14*,6370.12,6274.85*,6179.58,6092.91*,6006.24,5831.75,5793.76,5697.58*,5601.4,5530.39*,5459.39*,5388.38,5292.82*,5197.26,5100.91*,5004.55,4933.10*,4861.64*,4790.19,4723.25*,4656.32*,4589.38,4495.51*,4401.63,4331.25*,4260.88*,4190.5,4123.16*,4055.82*,3988.48,3919.07*,3849.66*,3780.25,3683.96*,3587.67,3516.98*,3446.30*,3375.61,3279.30*,3182.98,3115.78*,3048.57*,2981.37,2903.37*,2825.36,2755.61,2593.32,2507.56,2442.41*,2377.25,2283.28*,2189.3,2103.94*,2018.57*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFK 12 - KC,Subbasin,Knapp Creek - WFK L,KC WFK L - Junction,1933.21,,1933.21,1836.81*,1740.4,1672.18*,1603.95*,1535.73,1462.41*,1389.09*,1315.77,1217.12*,1118.46,1049.42*,980.37* ,911.33,838.74* ,766.14* ,693.55,614.01* ,534.48* ,454.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J - J KC WFK K,Junction,KC WFK L & Junction,Junction- Junction (KCWFK K),6000.33,,6000.33,5830.20*,5660.08*,5489.95,5318.18*,5146.40*,4974.63,4807.72*,4640.81*,4473.9,4305.55*,4137.19*,3968.84,3814.18*,3659.51*,3504.85,3366.57*,3228.28*,3090,2935.60*,2781.20*,2626.79*,2472.39,2333.11*,2193.84*,2054.56,1884.44*,1714.32*,1544.20*,1374.08,1219.00*,1063.91,900.85* ,737.78* ,574.72,407.27* ,239.81* ,72.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
